id;name;rating;note
r435;Hähnchen mit Pilzrahm;;cremig, aromatisch
r436;Lachs en Papillote;;saftig, schonend
r437;Rindfleisch-Bourguignon;;geschmort, herzhaft
r438;Puten-Gyros mit Tzatziki;;grill, würzig
r439;Krustenbraten mit Sauerkraut;;deftig, klassisch
r440;Gebackene Jakobsmuscheln auf Risotto;;fein, delikat
r441;Rindercarpaccio mit Rucola;;leicht, elegant
r442;Hähnchen-Korma mit Naan;;indisch, mild
r443;Schweinebauch asiatisch glasiert;;knusprig, süß
r444;Lamm-Tajine mit Aprikosen;;orientalisch, aromatisch
r445;Fischcurry mit Kokos und Garnelen;;exotisch, cremig
r446;Rindersteak mit Knoblauchbutter;;saftig, kräftig
r447;Hähnchen Marbella;;sonnig, mediterran
r448;Gebackener Schinken mit Honigkruste;;festlich, süß
r449;Bratwurst mit Sauerkraut und Senf;;würzig, deftig
r450;Lachs-Bagel mit Frischkäse;;schnell, frisch
r451;Rindfleisch-Chili con Carne;;pikant, sättigend
r452;Hähnchen Caesar Salad mit Croutons;;salat, klassisch
r453;Schweinegeschnetzeltes mit Champignons;;cremig, würzig
r454;Meeräsche gegrillt mit Zitronenbutter;;maritim, leicht
r455;Hähnchen mit süß-saurer Sauce;;asiatisch, fruchtig
r456;Gegrillte Garnelen-Spieße;;tapas, frisch
r457;Kalbsbraten mit Gemüse;;zart, klassisch
r458;Rindfleisch-Pho mit Kräutern;;vietnamesisch, aromatisch
r459;Lamm-Burger mit Feta;;grill, würzig
r460;Hähnchen-Souvlaki mit Zitrone;;mediterran, frisch
r461;Gebratene Ente mit Hoisin;;asiatisch, intensiv
r462;Fischfrikadellen mit Remoulade;;hausgemacht, knusprig
r463;Rindertatar mit Toast;;roh, elegant
r464;Gefüllte Hähnchenbrust mit Spinat und Käse;;gefüllt, saftig
r465;Spanische Chorizo-Pfanne;;pikant, würzig
r466;Lachs-Risotto mit Erbsen;;cremig, delikat
r467;Hähnchen Cordon Bleu;;gefüllt, goldbraun
r468;Schweinefilet mit Pflaumen;;süß-herzhaft, zart
r469;Rinderbraten mit Wurzelgemüse;;geschmort, herzhaft
r470;Hummer-Spaghetti;;luxuriös, delikat
r471;Gegrillter Oktopus mit Paprika;;mediterran, aromatisch
r472;Hähnchen-Piccata mit Kapern;;zitronig, pikant
r473;Kalbsleber Berliner Art;;traditionell, würzig
r474;Lachs-Terrine mit Dill;;kalt, fein
r475;Rindfleisch-Kebabs mit Zwiebeln;;grill, würzig
r476;Hähnchen Tandoori mit Joghurt;;indisch, aromatisch
r477;Schweine-Ragout mit Senf;;rustikal, herzhaft
r478;Fischauflauf mit Kruste;;überbacken, saftig
r479;Rinderkebab mit Joghurtsauce;;orientalisch, aromatisch
r480;Hähnchen-Nuggets hausgemacht;;snack, knusprig
r481;Lammcurry mit Joghurt;;scharf, aromatisch
r482;Gegrillte Sardinen mit Meersalz;;einfach, maritim
r483;Rinderfilet Stroganoff;;cremig, herzhaft
r484;Putenroulade mit Spinatfüllung;;gefüllt, klassisch
r485;Gambas al Ajillo;;knoblauch, tapas
r486;Schweinebauch mit Pflaumenweinsauce;;fein, süß
r487;Rinderbraten mit Rotweinsoße;;festlich, aromatisch
r488;Hähnchen-Paprika-Pfanne;;schnell, würzig
r489;Jakobsmuscheln auf Blumenkohlpüree;;delikat, elegant
r490;Iberico-Koteletts mit Knoblauch;;kräftig, aromatisch
r491;Thai-Rindsalat mit Limette;;frisch, scharf
r492;Lammragout mit Kichererbsen;;orientalisch, herzhaft
r493;Hähnchen-Marsala;;pilzig, aromatisch
r494;Gegrillter Tunfisch mit Sesamsauce;;saftig, nussig
r495;Rinderhack-Pfanne mit Mais;;schnell, deftig
r496;Hähnchen-Lauch-Pfanne;;schnell, herzhaft
r497;Gänsebraten mit Apfelrotkohl;;festlich, traditionell
r498;Zanderfilet mit Kräuterkruste;;zart, aromatisch
r499;Rinderfilet mit Gorgonzola-Sauce;;fein, kräftig
r500;Meeresfrüchte-Platte mit Zitronenbutter;;festlich, frisch
